Date,Year,Donor,Items,Value ($),Country,Continent,Regime
12/10/2013,2013,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,"Olive green leather briefcase with maroon pattern at top, floral design, and three outside zippers. iPad mini in blue presentation box. International power cord for iPad mini. Black and silver pen with gold symbol on top. ",2088,Brunei Darussalam,Asia,Authoritarian
01/10/2013,2013,His Excellency Navinchandra Ramgoolam,"24"" × 32"" framed painting of a beach scene in Mauritius, title: “Sous un Mangier” by Vaco. 21"" × 17"" framed painting of Le Morne Brabant mountain by Ragusa. ",835,Mauritius,Africa,Full Democracy
22/09/2013,2013,His Excellency Abdullah Gül,"30"" × 30"" print of Turkish calligraphy in a circular design with interweaving lines and square shapes colored in navy, orange, and teal, title: “Fahrettin 2007”. ",690,Turkey,Asia,Hybrid Regime
06/09/2013,2013,His Excellency Xi Jinping,"20"" × 19"" tall porcelain rose plum shape vase with lotus flower design. ",3200,China,Asia,Authoritarian
04/09/2013,2013,His Majesty King Carl XVI Gustaf of Sweden,"34"" × 13"" print of boats coming to port in a busy harbor by Louis Jean Deprez, depicting Swedish battle fleet. ",480,Sweden,Europe,Full Democracy
03/09/2013,2013,Her Excellency Dalia Grybauskaite,"3"" × 1"" polished amber mounted on wooden base. DVD, title: “The Other Dream Team.” Personalized basketball jersey in green and yellow with flags of Lithuania and the United States on the front. ",439,Lithuania,Europe,Flawed Democracy
26/08/2013,2013,His Excellency Jacob Zuma,"35"" × 23.5"" and 27"" × 19"" framed photo collages of President Obama and the First Lady with the President and First Lady of South Africa from their visit to South Africa. ",580,South Africa,Africa,Flawed Democracy
15/08/2013,2013,His Excellency Horacio Cartes,"22"" × 27"" framed amber painting of hut and larger structure in background. Paperback book, title: “Testimonios de La Asuncion: Crecimiento y desarrollo en sus 450 anos 1537-1987”. ",505,Paraguay,South America,Flawed Democracy
08/08/2013,2013,His Excellency Antonis Samaras,"8"" silver-covered cast resin relief plaque depicting Pericles' Funeral Oration including Greek quote from the oration. ",430,Greece,Europe,Flawed Democracy
04/08/2013,2013,His Majesty Mohammed VI,Gift basket of Godiva chocolates. ,2484,Morocco,Africa,Hybrid Regime
24/07/2013,2013,His Excellency Truong Tan Sang,"23"" × 19"" scale carved from cedar. Copy of original letter sent by Ho Chi Minh to President Harry Truman in 1946. ",780,Vietnam,Asia,Authoritarian
